"GeneID"	"Description"	"moduleColor"	"GS.expcrtB"	"p.GS.expcrtB"	"GS.Phytoene"	"p.GS.Phytoene"	"MM.pink"	"p.MM.pink"
"Niben261Chr01g0564004.1"	"Annexin"	"pink"	0.326834131756898	0.0233688655101937	0.182449204921497	0.214541306933167	0.965213389578991	1.92228694209101e-28
"Niben261Chr17g1546014.1"	"alcohol dehydrogenase-like"	"pink"	0.383146394312895	0.00718877133189575	0.162573373945536	0.269586301022823	0.964552912230046	2.94183925275347e-28
"Niben261Chr04g0697001.1"	"3-oxoacyl-[acyl-carrier-protein] reductase FabG-like"	"pink"	0.270712300319582	0.0627401764668853	0.097762512559113	0.508579654065442	0.964340023357475	3.36852212841415e-28
"Niben261Chr06g0685007.1"	"Bidirectional sugar transporter SWEET"	"pink"	0.265865186911546	0.0677840104280552	0.0502208404545343	0.734622836441283	0.963494207374896	5.72345571039309e-28
"Niben261Chr09g1038012.1"	"annexin D4-like"	"pink"	0.505424552687296	0.000248154228406268	0.323064197868147	0.0251111856721786	0.963137401026837	7.13103527100646e-28
"Niben261Chr02g1280010.1"	"isoflavone 2'-hydroxylase-like"	"pink"	0.497445279423653	0.000321746703506974	0.330290720151313	0.0218616428393676	0.963081772437857	7.37829454843896e-28
"Niben261Chr17g0821008.1"	"Pyrimidine-specific ribonucleoside hydrolase"	"pink"	0.218846550146072	0.135063670750315	0.0686125173007209	0.643093581859199	0.962971951274799	7.89067435772019e-28
"Niben261Chr17g0115007.1"	"Glycosyltransferase"	"pink"	0.270976536983733	0.0624740861486891	0.0920182061325005	0.533916944362206	0.962811325110406	8.70168022225103e-28
"Niben261Chr04g1859023.1"	"Terpene cyclase/mutase family member"	"pink"	0.377215938236915	0.00821836416726629	0.10045937418393	0.496898206225582	0.96240094218205	1.11510378490882e-27
"Niben261Chr10g0652003.1"	"9-divinyl ether synthase-like"	"pink"	0.250217842214711	0.0862961555930077	0.0923851919596881	0.53227998919802	0.962109817962564	1.32740253173344e-27
"Niben261Chr19g1287007.1"	"bark storage protein A-like"	"pink"	0.26299734644889	0.0709168327073082	0.0724902629628281	0.624393111661942	0.962099956941707	1.33522962566698e-27
"Niben261Chr03g1590002.1"	"Anion exchanger family protein"	"pink"	0.252464978398186	0.0834180418590938	0.0605021937800207	0.682908951111703	0.960264631904769	3.88475582073025e-27
"Niben261Chr09g1286001.1"	"Pi-plc x domain-containing protein"	"pink"	0.252432279366595	0.0834593765760582	0.0584668842781525	0.693041504258422	0.959511806727565	5.93374418967572e-27
"Niben261Chr10g0377002.1"	"Annexin"	"pink"	0.556085747148337	4.06788668754595e-05	0.393362548303088	0.00567606381080134	0.958815290686921	8.71874197366839e-27
"Niben261Chr18g0537004.1"	"isoleucine N-monooxygenase 2-like"	"pink"	0.290427422586463	0.0452316951701479	0.121008267854634	0.412622312965509	0.95784327460564	1.47545665248214e-26
"Niben261Chr09g0779008.1"	"Protein dmr6-like oxygenase 2"	"pink"	0.224418345967197	0.125161265840754	0.0417555568265289	0.778105885760932	0.955869522424264	4.1376840140959e-26
"Niben261Chr19g0090011.1"	"Tify domain-containing protein"	"pink"	0.444985754133013	0.00152948235132431	0.225809327173897	0.122776762881626	0.954790868705996	7.12735701512813e-26
"Niben261Chr13g0652001.1"	"dCTP pyrophosphatase 1"	"pink"	0.209539042612782	0.15289346839248	0.0530690353683619	0.720168269739509	0.954599281224899	7.83923551245915e-26
"Niben261Chr04g1639001.1"	"dCTP pyrophosphatase 1"	"pink"	0.204333495769131	0.163590873248932	0.00645956988610483	0.965244015676347	0.953200974129389	1.55144704893911e-25
"Niben261Chr05g0731001.1"	"miraculin-like"	"pink"	0.283899999248545	0.0505225049973761	0.0904727875237545	0.540837208219936	0.951877225715412	2.90508899017057e-25
"Niben261Chr08g0819003.1"	"Protein srg1"	"pink"	0.441205827068252	0.001695531971333	0.173179281719653	0.239150067729438	0.950676299026198	5.0553363594837e-25
"Niben261Chr04g1336014.1"	"UDP-glycosyltransferase 91C1-like"	"pink"	0.274352069499	0.0591536337043361	0.0931595299860741	0.528834105681193	0.949869850158882	7.27726768891572e-25
"Niben261Chr19g0291004.1"	"Glutamate receptor"	"pink"	0.26801747073091	0.0655059644455358	0.0548026228988915	0.711417075031084	0.9493699891127	9.09353845491292e-25
"Niben261Chr07g0946011.1"	"Calcium uniporter protein"	"pink"	0.24126596204187	0.0985379669673645	0.0263731699034481	0.858775492752899	0.949113924619115	1.01841326399349e-24
"Niben261Chr04g1028019.1"	"Mannose-6-phosphate isomerase"	"pink"	0.233221949653299	0.11064438611719	0.035683881949273	0.80972173495022	0.948498527397909	1.33387286817219e-24
"Niben261Chr13g0505005.1"	"DBP1-interacting protein 2"	"pink"	0.227089671340525	0.120612396089711	0.0706154536466482	0.633406145113338	0.947221242488942	2.3111687563666e-24
"Niben261Chr03g0301003.1"	"(-)-alpha-terpineol synthase"	"pink"	0.236796359050295	0.105131741998977	0.0507078830917477	0.732144486006388	0.943377254529189	1.11688532644106e-23
"Niben261Chr10g0377012.1"	"Annexin d4"	"pink"	0.57628899461113	1.81607482364466e-05	0.366099376787125	0.0104950781278826	0.942686318988236	1.46524348055064e-23
"Niben261Chr13g0107001.1"	"tryptophan aminotransferase-related protein 3-like"	"pink"	0.309564649637713	0.0322663980053893	-0.00129088948501207	0.993052274952725	0.941356443252015	2.44782446453434e-23
"Niben261Chr15g0698004.1"	"Unknown protein"	"pink"	0.241229726057429	0.0985901086124762	0.0380300473362916	0.797466394436154	0.941178237027841	2.61968821099504e-23
"Niben261Chr15g1441023.1"	"E3 ubiquitin-protein ligase sdir1"	"pink"	0.282328272405512	0.0518686082270801	-0.00891671483248413	0.952036531794117	0.940899088512948	2.91224019222026e-23
"Niben261Chr14g0057002.1"	"Terpene cyclase/mutase family member"	"pink"	0.319593922600513	0.0268098559422788	0.0375179498657363	0.800137361417105	0.939998986823683	4.08292515912179e-23
"Niben261Chr16g0282003.1"	"BHLH domain-containing protein"	"pink"	0.28451071485208	0.050007154125829	0.141142577500895	0.338622863052727	0.93981387132023	4.37390934381212e-23
"Niben261Chr13g0909005.1"	"Cytochrome P450"	"pink"	0.378156879176662	0.00804695317218539	0.152958901505374	0.299307592189162	0.939405916742676	5.08658448372585e-23
"Niben261Chr19g0226013.1"	"Endoglucanase"	"pink"	0.256063314819017	0.078966501652611	0.0437517841423935	0.767785746904778	0.936462905804837	1.46652674822922e-22
"Niben261Chr07g1249046.1"	"Purine transporter"	"pink"	0.241659307525904	0.0979733328189164	0.0782055113284504	0.597255236064898	0.932864895687662	5.00633394148749e-22
"Niben261Chr16g0242005.1"	"Phospholipase A1"	"pink"	0.267668263579326	0.0658713709532907	0.0938345014447023	0.525839397340196	0.929573813394348	1.45212266467478e-21
"Niben261Chr09g0125003.1"	"Transcription factor bhlh92"	"pink"	0.406643515527579	0.00412912093697289	0.102835439500776	0.48672208149537	0.92917677205038	1.64543211884669e-21
"Niben261Chr12g0307026.1"	"suppressor of disruption of TFIIS-like"	"pink"	0.248956585315433	0.0879452077689213	0.0757770177275293	0.60872324741627	0.929154285909078	1.65708372622169e-21
"Niben261Chr16g1154009.1"	"Alanine--glyoxylate aminotransferase 2-like 2, mitochondrial"	"pink"	0.279819280544601	0.0540774191764047	0.081376110307886	0.582427646981629	0.928395090058119	2.10001747586085e-21
"Niben261Chr14g1229001.1"	"WD_REPEATS_REGION domain-containing protein"	"pink"	0.288005981235099	0.0471390710325609	0.10930939576961	0.459557638071969	0.928207690306612	2.22558140761299e-21
"Niben261Chr12g0827012.1"	"Aldo_ket_red domain-containing protein"	"pink"	0.317264627871603	0.0280029979484291	0.0434727559520146	0.769225926594264	0.928202968199963	2.22883599101974e-21
"Niben261Chr16g0346003.1"	"(-)-alpha-terpineol synthase"	"pink"	0.276845148595191	0.0567933677951791	0.117768366347914	0.425337478736813	0.927906385254732	2.44259198382701e-21
"Niben261Chr12g0183011.1"	"glucomannan 4-beta-mannosyltransferase 9-like"	"pink"	0.226865898839008	0.12098857676001	0.0109371404937456	0.941185852591599	0.927745130164864	2.56687479696754e-21
"Niben261Chr11g0883003.1"	"Methyltransferase"	"pink"	0.302951132047952	0.0363450214780238	0.016608787701038	0.910788899092689	0.92618315487272	4.1270239535879e-21
"Niben261Chr06g1168006.1"	"phospholipase A1-Ibeta2, chloroplastic-like"	"pink"	0.348313506162763	0.0152626767972971	0.196317862996529	0.181113790102926	0.922229425073735	1.31237387277352e-20
"Niben261Chr10g0564001.1"	"metallothiol transferase FosB-like"	"pink"	0.247485002890244	0.0899001979402842	-0.037152410917734	0.802045302659428	0.922059521234534	1.37736573966558e-20
"Niben261Chr01g0141019.1"	"WRKY domain-containing protein"	"pink"	0.427185532872587	0.00246015125094437	0.279179534748388	0.0546526004027827	0.921776406480286	1.49252889901394e-20
"Niben261Chr09g1069006.1"	"Alpha-1,3-mannosyltransferase"	"pink"	0.244424614767901	0.0940740931145584	0.021274927019867	0.885873331565094	0.92174717991608	1.50492666523175e-20
"Niben261Chr02g1404005.1"	"Amino acid permease 6"	"pink"	0.478156793854215	0.000587565979600842	0.284707736905312	0.0498418095401926	0.920699625457746	2.02008425198528e-20
"Niben261Chr16g0087003.1"	"Allene-oxide cyclase"	"pink"	0.415164916013853	0.00334383229036354	0.107635037772292	0.466503390988278	0.919747463216268	2.63066351486491e-20
"Niben261Chr12g1440006.1"	"Lanc-like protein gcl1"	"pink"	0.262732281643425	0.0712120890082737	-0.0350791404865779	0.812888093249212	0.917885468352652	4.36836112787696e-20
"Niben261Chr16g0970004.1"	"B3 domain-containing protein"	"pink"	0.285110070333345	0.0495055404361371	0.0346550529737322	0.815110336685319	0.915360374003066	8.52770599317276e-20
"Niben261Chr10g0349012.1"	"Cytochrome P450"	"pink"	0.233033586640196	0.110940895551734	0.0670445922734577	0.650718298936007	0.91162034102139	2.21262104419213e-19
"Niben261Chr13g1530002.1"	"Zeta_toxin domain-containing protein"	"pink"	0.364002961142153	0.0109803518725366	0.211446298043493	0.149105783289519	0.908993670462605	4.2160645594676e-19
"Niben261Chr09g0600002.1"	"Polyamine oxidase 1"	"pink"	0.23021754051325	0.115446396567779	-0.032501530331674	0.826416780257343	0.908420584377701	4.84030449990355e-19
"Niben261Chr05g1304012.1"	"nudix hydrolase 8-like"	"pink"	0.30048297872711	0.0379720859590841	0.00380312315128313	0.979533046961843	0.908041103310006	5.30107656719991e-19
"Niben261Chr15g1497016.1"	"serine/threonine-protein kinase 38-like"	"pink"	0.420153184583442	0.00294793877564965	0.160024010621441	0.277269090024216	0.907384206752848	6.19902184234614e-19
"Niben261Chr10g0618004.1"	"Abc transporter g family member 11"	"pink"	0.298565285402021	0.0392772157717868	0.164983756410263	0.2624534711429	0.905911315024498	8.76761199889671e-19
"Niben261Chr08g0020012.1"	"FLZ-type domain-containing protein"	"pink"	0.297531248377356	0.0399960949064488	0.0179109263451596	0.903826353811063	0.905389079644173	9.90081387429215e-19
"Niben261Scf00985g0000002.1"	"Aldo_ket_red domain-containing protein"	"pink"	0.23005488866538	0.115710816376105	-0.0120191254528616	0.935379274092883	0.905253338043534	1.02174403333685e-18
"Niben261Chr09g1251022.1"	"Proline-rich receptor-like protein kinase perk12"	"pink"	0.269406524277583	0.064068442425275	0.00440638751825417	0.976287370199657	0.904597806643947	1.18870973100401e-18
"Niben261Chr19g0149009.1"	"RING-CH-type domain-containing protein"	"pink"	0.362126144320661	0.0114310218969689	0.133374878447418	0.366134633921067	0.90410283618182	1.3316672143387e-18
"Niben261Chr06g0518029.1"	"O-fucosyltransferase family protein"	"pink"	0.330652148738163	0.0217088776179912	0.127944147736733	0.386146570144194	0.904015866444691	1.35841957398487e-18
"Niben261Chr02g1370003.1"	"outer envelope pore protein 24B, chloroplastic-like"	"pink"	0.255312567566825	0.0798794846331673	0.183631411788149	0.211534838571229	0.899664717127024	3.58937361637289e-18
"Niben261Chr13g0211019.1"	"START domain-containing protein"	"pink"	0.302804057577489	0.036440339422725	0.0711639982472279	0.630763523754083	0.898037639743124	5.10374169455112e-18
"Niben261Chr18g0042006.1"	"Xyloglucan endotransglucosylase/hydrolase"	"pink"	0.402229569441933	0.00459619230952262	0.279891329322968	0.0540129488970558	0.896401915605479	7.22771207195356e-18
"Niben261Chr17g0514007.1"	"amino acid permease 6-like"	"pink"	0.424364277576641	0.0026465291700234	0.184897191262431	0.208348617621315	0.896090073299265	7.71833863426528e-18
"Niben261Chr18g0639004.1"	"Tify domain-containing protein"	"pink"	0.626613211306345	1.89384041078575e-06	0.405496275240674	0.00424632748710341	0.890205946188368	2.56681081256503e-17
"Niben261Chr06g0459006.1"	"IAA-amino acid hydrolase ILR1-like"	"pink"	0.548091919535553	5.51790387167466e-05	0.408861707704059	0.00391052524232101	0.888090606874911	3.888721282367e-17
"Niben261Chr13g1036010.1"	"transcription factor DIVARICATA-like"	"pink"	0.322863512327124	0.0252069031916901	0.0621648757370021	0.674672192149699	0.886988285094288	4.81276041183253e-17
"Niben261Chr07g1328012.1"	"1,4-dihydroxy-2-naphthoyl-CoA thioesterase 1-like"	"pink"	0.426129533864564	0.00252850715272145	0.352269663690374	0.0140672724230375	0.886528647437801	5.25675785834057e-17
"Niben261Chr06g0433008.1"	"4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase"	"pink"	0.58843975810684	1.08913596781573e-05	0.421824462105663	0.00282487319956673	0.884870925634234	7.20409784634952e-17
"Niben261Chr18g1451009.1"	"F-box protein At5g07610"	"pink"	0.216535135420803	0.139339118407441	0.0518455816210206	0.726365782148408	0.88259716154076	1.10137306239359e-16
"Niben261Chr15g1197007.1"	"BTB/POZ and TAZ domain-containing protein 4-like"	"pink"	0.391508124567435	0.00592799115010555	0.22790499945186	0.119249245058583	0.881737417263298	1.29019240037252e-16
"Niben261Chr09g1313020.1"	"4-hydroxy-3-methylbut-2-enyl diphosphate reductase"	"pink"	0.444505592107455	0.0015497397001173	0.205323527942739	0.16151547402937	0.881432420961257	1.36428592874824e-16
"Niben261Chr07g0997012.1"	"protein NUCLEAR FUSION DEFECTIVE 4-like"	"pink"	0.325569950975651	0.0239414507829605	-0.0232949914717702	0.875119213693276	0.879336613889626	1.99421461919055e-16
"Niben261Chr03g1777004.1"	"protein NRT1/ PTR FAMILY 5.1"	"pink"	0.324463203500997	0.0244523425879662	0.0630225248854118	0.670438099678054	0.877691782991683	2.67324694393309e-16
"Niben261Chr15g0661008.1"	"cytochrome P450 CYP736A12-like"	"pink"	0.458734034634553	0.00104081732573047	0.279002465481347	0.0548126681072358	0.873440868429329	5.59329375403494e-16
"Niben261Chr12g0782007.1"	"Tify domain-containing protein"	"pink"	0.492128131718304	0.000381203492126793	0.245213042948669	0.0929847052527084	0.872167226620276	6.94217139613246e-16
"Niben261Chr19g0331005.1"	"(-)-germacrene D synthase-like"	"pink"	0.3390854224555	0.0183911596183762	0.0267958154768322	0.856535842623697	0.869123144833276	1.15279722530853e-15
"Niben261Chr14g0923003.1"	"nudix hydrolase 8-like"	"pink"	0.483429065380968	0.000500136130556583	0.248256973107628	0.0888704642217435	0.867180705407038	1.58287975094746e-15
"Niben261Chr18g0110027.1"	"Formin-like protein"	"pink"	0.38523292218792	0.00685415642341016	0.0618016064025157	0.676468617846662	0.86360910113478	2.79946940006216e-15
"Niben261Chr07g1078008.1"	"Leucine-rich repeat receptor-like protein kinase"	"pink"	0.299799754726708	0.0384329184473525	0.0680433746425961	0.645857137864615	0.863200319231605	2.98518927591965e-15
"Niben261Chr19g0141001.1"	"Aldo_ket_red domain-containing protein"	"pink"	0.259527461958308	0.0748595859593174	-0.0277737819743081	0.851357789190645	0.857438243314505	7.22597428812211e-15
"Niben261Chr18g0178002.1"	"heparanase-like protein 3"	"pink"	0.245057759132218	0.0931984862843734	-0.0114485714580711	0.938440812965101	0.856117472840019	8.8011491764783e-15
"Niben261Chr08g1153002.1"	"4-coumarate--CoA ligase"	"pink"	0.412867734673408	0.00354137991958349	0.184675451537169	0.208904336517905	0.855272390345487	9.97453094421694e-15
"Niben261Chr04g1552007.1"	"Alkaline/neutral invertase"	"pink"	0.402386315866947	0.00457884564403109	0.108547790565144	0.462710046733213	0.853981522270948	1.2057512606858e-14
"Niben261Chr16g0376019.1"	"Protein nuclear fusion defective 4"	"pink"	0.284008716976495	0.0504304503589598	-0.0741342267810121	0.616534268230062	0.851189191700213	1.80617121635797e-14
"Niben261Chr08g0127009.1"	"Calcium-binding mitochondrial carrier protein like"	"pink"	0.386369389954512	0.00667765762145251	0.257591490115452	0.0771334563834287	0.848313264817728	2.71530598414607e-14
"Niben261Chr11g0891001.1"	"Phospho-2-dehydro-3-deoxyheptonate aldolase"	"pink"	0.369271949631264	0.00979580448834657	0.200553382663292	0.171693920465796	0.844454089055456	4.63194261518917e-14
"Niben261Chr06g0490027.1"	"protein TIFY 10b-like"	"pink"	0.58663809038975	1.17644893792205e-05	0.400097749348032	0.00483789090371492	0.843323668242727	5.40155422331655e-14
"Niben261Chr19g0034003.1"	"DUF4408 domain-containing protein"	"pink"	0.243611406174363	0.0952080598871134	-0.0491381196711364	0.740141887558804	0.842882601465878	5.73354335389376e-14
"Niben261Chr13g0582011.1"	"Endoglucanase"	"pink"	0.284487721459638	0.0500264795472068	0.0298053429202841	0.840621278990695	0.840815043924799	7.56492543874876e-14
"Niben261Chr14g0656003.1"	"Plant protein 1589 of Uncharacterized protein function"	"pink"	0.325857540162941	0.0238101699991199	0.0146018098835761	0.921533028320098	0.835343429512963	1.54637858085799e-13
"Niben261Chr14g0102018.1"	"Cytokinin dehydrogenase"	"pink"	0.313856327585367	0.0298283384806185	-0.0323865100853472	0.827021662271523	0.833051590406822	2.07030111186849e-13
"Niben261Chr04g1336004.1"	"UDP-glycosyltransferase 91C1-like"	"pink"	0.493183536785365	0.000368667335539405	0.419090201326103	0.00302865067465605	0.831488307174771	2.51987055031269e-13
"Niben261Chr02g1175005.1"	"Cinnamoyl-CoA reductase"	"pink"	0.640119014773814	9.62762738580724e-07	0.573353592216713	2.04861064271536e-05	0.831213152231264	2.6080132128952e-13
"Niben261Chr06g0806002.1"	"glutaminyl-peptide cyclotransferase-like"	"pink"	0.628671043587814	1.71189407748518e-06	0.577797721961749	1.70625202623263e-05	0.829949799978006	3.05158202935775e-13
"Niben261Chr13g0352001.1"	"1-deoxy-D-xylulose-5-phosphate synthase"	"pink"	0.239797240547774	0.100668494096909	-0.159320843002905	0.2794132864357	0.82870942667088	3.55597998636072e-13
"Niben261Chr01g1081002.1"	"caffeoylshikimate esterase"	"pink"	0.258972090329005	0.0755064066633965	0.112357249818897	0.447059216551885	0.828708741972588	3.55627907167206e-13
"Niben261Chr07g1275002.1"	"Chr1:1772454-1773228 REVERSE LENGTH=189"	"pink"	0.309443783681711	0.032337381505057	0.253059143986656	0.0826697481985385	0.824996176642422	5.58105735598047e-13
"Niben261Chr12g0056012.1"	"GDSL esterase/lipase At1g28590-like"	"pink"	0.336679817886234	0.0192905993240915	0.0393629045347042	0.790525372803843	0.822529499439295	7.48581757495516e-13
"Niben261Chr06g1284007.1"	"F-box protein At2g27310"	"pink"	0.330797056320189	0.0216478822176588	0.238961161778688	0.101897063770126	0.821722890069771	8.2321810118577e-13
"Niben261Chr09g1038015.1"	"Annexin"	"pink"	0.670039273324539	1.90085652273686e-07	0.613457653240752	3.55183071820122e-06	0.819722100395458	1.03995191690418e-12
"Niben261Chr16g0042012.1"	"Peroxidase"	"pink"	0.558282479988416	3.73581995928468e-05	0.526962415870407	0.000119127550948762	0.815221772772187	1.74108227474281e-12
"Niben261Chr08g0466006.1"	"Protein DETOXIFICATION"	"pink"	0.769373489245755	1.67027557636371e-10	0.56079875255485	3.38611166230557e-05	0.814114946127714	1.97213246727986e-12
"Niben261Chr10g0281024.1"	"Golgin candidate 4"	"pink"	0.284986141713931	0.0496089229445826	0.0475655655190396	0.748180833777288	0.811907358920834	2.52237988886973e-12
"Niben261Chr17g0815005.1"	"Abc transporter c family member 14"	"pink"	0.394820443653367	0.00548461095196474	0.144203033801932	0.328145526518041	0.810936616471615	2.80779281402097e-12
"Niben261Chr14g0144002.1"	"Regulator of rDNA transcription protein"	"pink"	0.332842113570688	0.0208023287035278	0.129868530230584	0.378982658429173	0.810568739324601	2.92373514626026e-12
"Niben261Chr09g1169030.1"	"UDP-galactose/UDP-glucose transporter like"	"pink"	0.587551535929183	1.13140529118099e-05	0.555908821106345	4.09577546124215e-05	0.808158746418556	3.80300140822674e-12
"Niben261Chr03g1276001.1"	"Xyloglucan endotransglucosylase/hydrolase"	"pink"	0.321113946575399	0.0260543691720822	0.255834337131597	0.0792440870600274	0.807376036731464	4.13873918958368e-12
"Niben261Chr12g1526002.1"	"Ras-related protein Rab-5C"	"pink"	0.478382095994376	0.000583565408686116	0.363515436063448	0.01109592573139	0.8067374368311	4.43324293472158e-12
