"GeneID"	"Description"	"moduleColor"	"GS.expcrtB"	"p.GS.expcrtB"	"GS.Phytoene"	"p.GS.Phytoene"	"MM.purple"	"p.MM.purple"
"Niben261Chr13g1031007.1"	"17.6 kDa class I heat shock protein"	"purple"	-0.619382694313936	2.68529775067051e-06	-0.505096322936796	0.000250851226778317	0.959435214228224	6.19226654785688e-27
"Niben261Chr01g1134008.1"	"Heat shock 22 kDa protein, mitochondrial"	"purple"	-0.552662701529975	4.63960037703242e-05	-0.422448585911931	0.00278009192333712	0.95730324334339	1.96584453187146e-26
"Niben261Chr01g0234004.1"	"chorion class high-cysteine HCA protein 12-like"	"purple"	-0.587039555335493	1.15645208132539e-05	-0.47238283733184	0.00069888856365623	0.957114068824056	2.1718243481493e-26
"Niben261Chr13g0796002.1"	"Heat shock 70 kDa protein"	"purple"	-0.623955920419851	2.15536916689618e-06	-0.46926104664301	0.000766658073595271	0.956761609444194	2.61177603281319e-26
"Niben261Chr05g1061014.1"	"DNA replication ATP-dependent helicase/nuclease"	"purple"	-0.585535171490229	1.23303810167999e-05	-0.480788236710636	0.000542344174826624	0.956712516797981	2.67942355617183e-26
"Niben261Chr14g0950012.1"	"Heat shock 22 kDa protein, mitochondrial"	"purple"	-0.559658397221211	3.54069465274785e-05	-0.419666933942354	0.00298462108166429	0.955074627839471	6.18531996594944e-26
"Niben261Chr13g0686007.1"	"Chaperone protein like"	"purple"	-0.569615433209548	2.3843655781693e-05	-0.459128889165473	0.00102912999406738	0.954011896587845	1.04696079613604e-25
"Niben261Chr05g0168014.1"	"CS domain-containing protein"	"purple"	-0.63931223795189	1.00339248216098e-06	-0.512747523092935	0.000194418725065999	0.953909725476924	1.10057544239596e-25
"Niben261Chr16g1420015.1"	"Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B"	"purple"	-0.645745783325458	7.19212422162111e-07	-0.484048261710602	0.000490678414152982	0.951087578824755	4.18829437969965e-25
"Niben261Chr10g0178016.1"	"SWR1-complex protein 4-like"	"purple"	-0.497298473932659	0.000323268594370312	-0.355760804098908	0.0130796520387577	0.950579632092683	5.28268245922171e-25
"Niben261Chr10g0410017.1"	"root phototropism protein 3-like"	"purple"	-0.61251848743451	3.71088656027902e-06	-0.505664563456002	0.000246198775054959	0.949450556930456	8.77410277433146e-25
"Niben261Chr09g1113018.1"	"Bag family molecular chaperone regulator 6"	"purple"	-0.586675757842107	1.17455926555469e-05	-0.471556358904478	0.000716285349505203	0.949174789484135	9.91413109360475e-25
"Niben261Chr08g0309009.1"	"UPF0426 protein At1g28150, chloroplastic"	"purple"	-0.571990806039227	2.16561858618867e-05	-0.430515403890267	0.00225518460782882	0.94836784706662	1.41193629482945e-24
"Niben261Chr09g1113002.1"	"BAG domain-containing protein"	"purple"	-0.577720155977147	1.71174559822084e-05	-0.462071337572089	0.000945668548042656	0.947656606480494	1.91927284926642e-24
"Niben261Chr19g0648010.1"	"Mechanosensitive ion channel protein"	"purple"	-0.547462819465908	5.65004058814295e-05	-0.428441834866526	0.00238096240569204	0.947148508551594	2.38367106359838e-24
"Niben261Chr17g1291020.1"	"Peptidylprolyl isomerase"	"purple"	-0.587252649013308	1.14596576124748e-05	-0.452939540163722	0.00122652652247753	0.946857258697788	2.69633456457002e-24
"Niben261Chr06g0688010.1"	"protein TAPETUM DETERMINANT 1-like"	"purple"	-0.546531170108364	5.85105177252854e-05	-0.444955881359765	0.00153073572939502	0.945953623128971	3.93507070206103e-24
"Niben261Chr08g0138004.1"	"heat shock 70 kDa protein"	"purple"	-0.634210594584759	1.29955739583424e-06	-0.516189061117912	0.000173019222468372	0.945810966725112	4.17458725193105e-24
"Niben261Chr05g0829006.1"	"Thioredoxin domain-containing protein"	"purple"	-0.598197305150262	7.11475821342454e-06	-0.450403056270316	0.00131673715727829	0.945650448006115	4.46071839945771e-24
"Niben261Chr14g0553002.1"	"STE20-like serine/threonine-protein kinase"	"purple"	-0.481317448151371	0.000533637492815241	-0.344580680571043	0.0164688151801904	0.94264499651101	1.48906848754009e-23
"Niben261Chr17g0704004.1"	"Cyclin-sds"	"purple"	-0.554012844141343	4.40584152958928e-05	-0.455140292959592	0.00115277056546057	0.941653451322546	2.18504147046954e-23
"Niben261Chr06g0267016.1"	"Non-specific serine/threonine protein kinase"	"purple"	-0.582061762227326	1.42806553435733e-05	-0.464977636677183	0.000869234514005474	0.940251807218227	3.71521606924958e-23
"Niben261Chr09g1305030.1"	"salicylic acid-binding protein 2-like"	"purple"	-0.560949238186554	3.36618161093229e-05	-0.45314563971838	0.00121944482879155	0.938480291108738	7.13672767540562e-23
"Niben261Chr07g1305014.1"	"dnaJ homolog subfamily B member 1-like"	"purple"	-0.515697491170463	0.000175938601634282	-0.40186110493296	0.00463719594442488	0.935391244986579	2.12964417807601e-22
"Niben261Chr15g0613010.1"	"10 kDa chaperonin-like"	"purple"	-0.614920347825959	3.31664165447011e-06	-0.457120324219365	0.00108982536264758	0.933962228311501	3.46805236068271e-22
"Niben261Chr06g1031019.1"	"Heat shock protein 90"	"purple"	-0.650699312502055	5.53593653160547e-07	-0.501471305090712	0.000282455009212901	0.932785046936193	5.14062481828128e-22
"Niben261Chr09g0210009.1"	"Chaperonin cpn60-2, mitochondrial"	"purple"	-0.56331549699184	3.06662709466978e-05	-0.364667318923252	0.0108245233293257	0.931625699315407	7.5224284427922e-22
"Niben261Chr15g0785007.1"	"AT-rich interactive domain-containing protein 1-like"	"purple"	-0.583067982392054	1.3688291821039e-05	-0.476843817505239	0.000611374679961762	0.929543897495599	1.46589856088891e-21
"Niben261Chr19g0709003.1"	"cytoplasmic 60S subunit biogenesis factor REI1 homolog 1-like"	"purple"	-0.492887192867553	0.000372149159033483	-0.308310012513189	0.0330095541488064	0.92827840941204	2.17737890961866e-21
"Niben261Chr02g0408003.1"	"ubiquitin domain-containing protein DSK2-like"	"purple"	-0.586140330422266	1.20168493676571e-05	-0.479871039894945	0.000557737481628589	0.927945933922343	2.41299889023152e-21
"Niben261Chr16g0933001.1"	"Heat shock 70 kDa protein"	"purple"	-0.69376464912678	4.57726290322321e-08	-0.511777654895492	0.00020086899426854	0.927425213797891	2.83151123104056e-21
"Niben261Chr03g0121001.1"	"FAM10 family protein At4g22670-like"	"purple"	-0.585906868001059	1.21369242822515e-05	-0.412550304375775	0.00356946922878661	0.92673738194671	3.491268381976e-21
"Niben261Chr01g1080014.1"	"periodic tryptophan protein 2 homolog"	"purple"	-0.593460139961574	8.76378522101579e-06	-0.440035793151484	0.00175008280895889	0.92564155487101	4.85389884201018e-21
"Niben261Chr10g1106011.1"	"Serine/arginine-rich-splicing factor SR45A"	"purple"	-0.539845238053944	7.49691544362922e-05	-0.39561265497375	0.00538295862843287	0.925408546370487	5.20280812864861e-21
"Niben261Chr15g0447006.1"	"STE20-like serine/threonine-protein kinase"	"purple"	-0.560648439203134	3.40612696156673e-05	-0.465243667013435	0.000862522589745769	0.920069980473354	2.40643878920561e-20
"Niben261Chr08g0668005.1"	"Transportin-1"	"purple"	-0.614498359623146	3.38296813495773e-06	-0.405411304805637	0.00425512327706643	0.918828753344637	3.38373410879143e-20
"Niben261Chr13g1429005.1"	"Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha"	"purple"	-0.574186540928439	1.97998786844573e-05	-0.458198394951841	0.00105686148666083	0.918519546597973	3.68047305016359e-20
"Niben261Chr02g0919011.1"	"MADS-box protein CMB1-like"	"purple"	-0.558858452120261	3.65296862660404e-05	-0.46617222212268	0.000839457701408238	0.91715732275067	5.30930657936748e-20
"Niben261Chr16g0254004.1"	"dnaJ homolog subfamily B member 1-like"	"purple"	-0.499519170832093	0.000300928753266156	-0.39739604644267	0.00516012142831306	0.917042590544578	5.47414108662894e-20
"Niben261Chr19g0386008.1"	"2-methoxy-6-polyprenyl-1,4-benzoquinol methylase"	"purple"	-0.529626650099455	0.000108413191398184	-0.414674514282073	0.0033851705718614	0.915925553856129	7.35530486938111e-20
"Niben261Chr14g0579002.1"	"10 kDa chaperonin-like"	"purple"	-0.626718666849323	1.88409634106345e-06	-0.47181432873559	0.000710813977330971	0.914814219800167	9.82828224464114e-20
"Niben261Chr17g1536002.1"	"splicing factor U2af small subunit B-like"	"purple"	-0.586905743699517	1.1630821004479e-05	-0.472418298113905	0.000698150704114262	0.913090781944588	1.52873763027712e-19
"Niben261Chr11g1310006.1"	"Alpha-galactosidase"	"purple"	-0.593493773323741	8.75092613189615e-06	-0.46913131175135	0.000769597889393846	0.911740354387043	2.14736808160075e-19
"Niben261Chr11g0375002.1"	"2-methoxy-6-polyprenyl-1,4-benzoquinol methylase"	"purple"	-0.53924522337148	7.66359208400535e-05	-0.416212344137943	0.00325702482119073	0.911676240722097	2.1819960344e-19
"Niben261Chr13g0357002.1"	"U1 small nuclear ribonucleoprotein C"	"purple"	-0.488814581784831	0.000423104380065323	-0.348922205429256	0.0150733082406981	0.909432394366044	3.79081861672022e-19
"Niben261Chr18g0858015.1"	"dnaJ protein homolog"	"purple"	-0.663917978871354	2.68863150294818e-07	-0.510240933614178	0.00021148789317404	0.905376583648794	9.92956654090864e-19
"Niben261Chr13g1143001.1"	"PB1 domain-containing protein"	"purple"	-0.554254890452027	4.36509388243482e-05	-0.426096554956251	0.00253066868575173	0.90526662246907	1.01860329649619e-18
"Niben261Chr03g0035008.1"	"F-box protein At3g07870"	"purple"	-0.640566008275546	9.40915933967861e-07	-0.524126999976971	0.000131582836345785	0.902402108242426	1.95814207750631e-18
"Niben261Chr05g1135010.1"	"Chromatin-remodeling complex ATPase"	"purple"	-0.630664263301747	1.55125594693556e-06	-0.523045217692475	0.000136639325262865	0.900170253064224	3.21358283375344e-18
"Niben261Chr18g0746001.1"	"Unknown protein"	"purple"	-0.551822903939865	4.79067678090002e-05	-0.463129808164162	0.000917161375170812	0.899474423296495	3.74138002599289e-18
"Niben261Chr07g1465002.1"	"WD_REPEATS_REGION domain-containing protein"	"purple"	-0.470977502502958	0.000728700395187142	-0.26389981819223	0.0699188383305658	0.898242823991305	4.88374578951083e-18
"Niben261Chr19g0115032.1"	"Glucan endo-1,3-beta-D-glucosidase"	"purple"	-0.553959118103237	4.41493327098625e-05	-0.403180276935137	0.00449185790348636	0.896486145882669	7.10037181977888e-18
"Niben261Chr14g0365006.1"	"Mitochondrial glycoprotein"	"purple"	-0.56025296978213	3.45930633400284e-05	-0.428563792611085	0.00237339646904846	0.896043083019561	7.79496217427077e-18
"Niben261Chr03g1329003.1"	"Splicing factor u2af small subunit b"	"purple"	-0.449699510080674	0.00134278540243079	-0.29510377039491	0.0417261849958001	0.894285943761134	1.12405325429049e-17
"Niben261Chr17g1529001.1"	"F-box domain-containing protein"	"purple"	-0.514994799667417	0.000180189577101032	-0.390009297881324	0.00613867377729683	0.884704557110154	7.43360189760445e-17
"Niben261Chr13g0482004.1"	"Heat shock cognate 70 kDa protein"	"purple"	-0.636942246651463	1.13215611015425e-06	-0.500583623030402	0.000290724208144855	0.881736339456843	1.29044736551497e-16
"Niben261Chr01g0554008.1"	"protein RETICULATA-RELATED 1, chloroplastic-like"	"purple"	-0.556760497032325	3.96311699368583e-05	-0.377223244577335	0.00821702110013195	0.881061835235825	1.45976273656339e-16
"Niben261Chr02g0314006.1"	"Rubisco large subunit-binding protein subunit alpha, chloroplastic"	"purple"	-0.597612505192697	7.30153770601307e-06	-0.484210733253056	0.000488223641189767	0.880282328781962	1.68173687888761e-16
"Niben261Chr12g0226001.1"	"Cell division cycle protein 48 homolog"	"purple"	-0.350499679439673	0.0145918365429022	-0.135889554944142	0.357084225528987	0.877834594862873	2.60652397007146e-16
"Niben261Chr06g1114007.1"	"Chaperone protein like"	"purple"	-0.47944645496383	0.000564995561195515	-0.387446368070366	0.00651405645449276	0.874116576376053	4.98285236197475e-16
"Niben261Chr05g0648005.1"	"ubiquitin-conjugating enzyme E2 7-like"	"purple"	-0.452210120599189	0.00125188560765483	-0.232285342768925	0.112124728207601	0.874069169761355	5.02352573036955e-16
"Niben261Chr07g0378026.1"	"17.3 kDa class ii heat shock protein"	"purple"	-0.490930261946169	0.000395897432455506	-0.395636460119835	0.00537992970156367	0.873891074345296	5.17916342450766e-16
"Niben261Chr18g0069016.1"	"classical arabinogalactan protein 1"	"purple"	-0.473487679773143	0.000676225385342224	-0.265606090400963	0.0680624433814493	0.873281587121102	5.74720696894067e-16
"Niben261Chr07g1027009.1"	"4-coumarate--CoA ligase-like"	"purple"	-0.523643027580702	0.000133823581051978	-0.398919622038384	0.00497617476064635	0.870471890317023	9.22248024406257e-16
"Niben261Chr19g1350017.1"	"Uricase"	"purple"	-0.567995682430111	2.5449842486979e-05	-0.459882861184322	0.0010071387335082	0.86612985134432	1.87517667637293e-15
"Niben261Chr16g0350012.1"	"protein HEAT-STRESS-ASSOCIATED 32-like"	"purple"	-0.561449601559312	3.30068597842847e-05	-0.43924088000369	0.00178802865281386	0.863915319203851	2.66759403378185e-15
"Niben261Chr17g0798005.1"	"Sodium/hydrogen exchanger"	"purple"	-0.297076138708303	0.0403158965143657	-0.128942365718126	0.382420571740322	0.863626949351205	2.79161597498024e-15
"Niben261Chr14g0976002.1"	"FAM10 family protein At4g22670-like"	"purple"	-0.545840287459509	6.00431857357721e-05	-0.393421514366758	0.00566820869547728	0.862526841336314	3.3169299468863e-15
"Niben261Chr07g1369022.1"	"protein HEAT-STRESS-ASSOCIATED 32-like"	"purple"	-0.516057266378455	0.000173797585412908	-0.373596667323928	0.00890746191479982	0.861065575000702	4.16109714559754e-15
"Niben261Chr17g0102008.1"	"ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase"	"purple"	-0.595077122784385	8.16490941974836e-06	-0.487461536311954	0.000441377296755172	0.860903904043095	4.26612798831086e-15
"Niben261Chr10g1008010.1"	"mitochondrial import inner membrane translocase subunit TIM14-3-like"	"purple"	-0.473867224854137	0.000668593690459475	-0.282139633492943	0.052032099383912	0.859912731880932	4.96719152121037e-15
"Niben261Chr06g0733013.1"	"Small heat shock protein, chloroplastic"	"purple"	-0.474899006558146	0.000648236803038408	-0.386680322905306	0.00663006188346648	0.858589186626479	6.07524250798701e-15
"Niben261Chr01g0602008.1"	"activator of 90 kDa heat shock protein ATPase homolog"	"purple"	-0.557378632249272	3.86931585525129e-05	-0.410727861459363	0.00373455957561201	0.858413078552784	6.23926241295322e-15
"Niben261Chr03g0287036.1"	"Serine/threonine-protein kinase"	"purple"	-0.436353922966943	0.00193206253791203	-0.280099854614891	0.0538267069314199	0.85710695420924	7.59379001028681e-15
"Niben261Chr01g0733005.1"	"Glycosyltransferase"	"purple"	-0.552364627429852	4.69271565949403e-05	-0.440184314270205	0.00174307292210544	0.854139523096524	1.1781992232123e-14
"Niben261Chr18g1377001.1"	"NAC domain-containing protein"	"purple"	-0.500629182973964	0.000290294516506952	-0.396695732103934	0.00524664681980836	0.853752132056798	1.24684282883694e-14
"Niben261Chr08g0445003.1"	"WRKY transcription factor 27"	"purple"	-0.576076124917688	1.83208334784675e-05	-0.504595654994117	0.000255016313749335	0.851921977505747	1.62573641508824e-14
"Niben261Chr04g0551001.1"	"Amino acid transporter family protein"	"purple"	-0.447045192111593	0.00144524591530111	-0.290905304810661	0.0448628022377373	0.85122684789011	1.79645359174281e-14
"Niben261Chr17g1207004.1"	"Heat stress transcription factor a-6b"	"purple"	-0.460909109891545	0.000977881712649643	-0.36490273109294	0.010769764073567	0.850955121280397	1.86770394689367e-14
"Niben261Chr16g0434017.1"	"Zinc finger an1 domain-containing stress-associated protein 12"	"purple"	-0.604944754750564	5.25639698526982e-06	-0.453830155087859	0.00119618571344088	0.850418281713432	2.01642914306419e-14
"Niben261Chr08g1116002.1"	"Prohibitin"	"purple"	-0.49201351035791	0.000382587892771151	-0.362219552562597	0.0114082227291525	0.849697362083541	2.23390346961671e-14
"Niben261Chr11g1394002.1"	"Universal stress protein family protein"	"purple"	-0.473136714802576	0.000683351963286472	-0.370596246258773	0.00951601096882412	0.84681927371748	3.34475504579404e-14
"Niben261Chr12g0785023.1"	"20 kDa chaperonin, chloroplastic-like"	"purple"	-0.633211680975581	1.36631496543937e-06	-0.494239425513402	0.000356499388940536	0.846155925050925	3.66657101879514e-14
"Niben261Chr15g0589001.1"	"RanBP2-type domain-containing protein"	"purple"	-0.437497813812365	0.0018738048047702	-0.277283659359985	0.0563861633250407	0.845843337873603	3.82820506001747e-14
"Niben261Chr08g0634012.1"	"abscisic acid 8'-hydroxylase 4-like"	"purple"	-0.486865708005769	0.000449647404726324	-0.395173522285755	0.00543910073661467	0.84482413401104	4.40347684328491e-14
"Niben261Chr04g1539003.1"	"Sucrose transport protein"	"purple"	-0.544984958157821	6.19915328718244e-05	-0.437976707449236	0.00184988188041311	0.842537535206936	6.00667323197568e-14
"Niben261Chr11g1076009.1"	"zinc_ribbon_10 domain-containing protein"	"purple"	-0.35936219145044	0.0121235739405602	-0.186231557547695	0.205026335363739	0.841158801185266	7.22617407289256e-14
"Niben261Chr12g1028009.1"	"Hexosyltransferase"	"purple"	-0.546813962423918	5.78935585064296e-05	-0.445794818953208	0.00149588186481083	0.84058322562145	7.8018128370147e-14
"Niben261Chr08g0634013.1"	"Abscisic acid 8'-hydroxylase"	"purple"	-0.548554792191757	5.42249491784916e-05	-0.471122864379228	0.000725564708007047	0.835977017634301	1.42541974451337e-13
"Niben261Chr02g1347012.1"	"Mechanosensitive ion channel protein"	"purple"	-0.465987835167486	0.000843993293507593	-0.370445638668481	0.00954747968411359	0.83499245542438	1.61750809869301e-13
"Niben261Chr14g1362021.1"	"heat stress transcription factor B-2b"	"purple"	-0.496708028625633	0.000329455557444686	-0.336679001710208	0.0192909106812881	0.834302031220032	1.76658232100833e-13
"Niben261Chr08g0219013.1"	"E3 ubiquitin-protein ligase SIS3-like"	"purple"	-0.355689695956668	0.0130991603524758	-0.193773216231069	0.186948466531672	0.831417258317193	2.54235581819474e-13
"Niben261Chr19g1105009.1"	"Heat shock protein 90"	"purple"	-0.500225952271451	0.000294117581728238	-0.338351352975217	0.0186617815860246	0.829132764473507	3.37555404628246e-13
"Niben261Chr06g1257019.1"	"WD-repeat protein"	"purple"	-0.430067043963279	0.00228187099430508	-0.212986516980158	0.146097912130761	0.827945060541779	3.90512972500193e-13
"Niben261Chr12g1569022.1"	"F-box domain-containing protein"	"purple"	-0.624285399103964	2.12121385376844e-06	-0.503848275799842	0.000261350493471844	0.82680132341622	4.4887944242734e-13
"Niben261Chr09g1015006.1"	"sugar transporter ERD6-like 5"	"purple"	-0.447158145772838	0.00144074776031699	-0.362664563274598	0.0113001391438993	0.82431919149981	6.0521840741991e-13
"Niben261Chr04g1808011.1"	"transcription factor MYB1R1-like"	"purple"	-0.499463512741231	0.000301471140515567	-0.409490134962236	0.00385047268629967	0.823978658285208	6.3031765375173e-13
"Niben261Chr19g0094021.1"	"20 kDa chaperonin, chloroplastic-like"	"purple"	-0.692515618080507	4.95012519593384e-08	-0.578614203471919	1.6494018529558e-05	0.821738537315975	8.21705472360554e-13
"Niben261Chr14g0181003.1"	"Ubiquitin and WLM domain-containing metalloprotease"	"purple"	-0.462111721573285	0.000944566519091834	-0.245086503954654	0.0931588842183426	0.819208229906814	1.10377408305871e-12
"Niben261Chr02g0809005.1"	"dnaJ homolog subfamily B member 1-like"	"purple"	-0.636385631792381	1.16454689699472e-06	-0.533677836494818	9.37963401743404e-05	0.815941509901454	1.60485223288175e-12
"Niben261Chr18g0944002.1"	"transcription factor bHLH91-like"	"purple"	-0.671891989452556	1.70875673048226e-07	-0.542128343803382	6.89253392663039e-05	0.813205179879676	2.18348502554302e-12
"Niben261Chr15g1523013.1"	"pentatricopeptide repeat-containing protein At2g31400, chloroplastic"	"purple"	-0.430270840090337	0.00226970657915528	-0.226445081526853	0.121698409710119	0.809373402126034	3.33254441780863e-12
"Niben261Chr16g0761009.1"	"pollen-specific leucine-rich repeat extensin-like protein 1"	"purple"	-0.366132001898229	0.0104876743144007	-0.142322173511528	0.334560235286581	0.80889890014258	3.50936229340125e-12
"Niben261Chr14g0808008.1"	"beta-glucuronosyltransferase GlcAT14A-like"	"purple"	-0.46076847856653	0.000981845420065953	-0.374089040632485	0.00881087829339082	0.806932831660624	4.34109082820397e-12
"Niben261Chr04g1681006.1"	"Chaperone clpb"	"purple"	-0.396272291061193	0.00529957627527872	-0.319833393612612	0.0266896338735472	0.805844887910228	4.87823141053633e-12
"Niben261Chr13g0959002.1"	"zinc_ribbon_15 domain-containing protein"	"purple"	-0.393888924192378	0.00560627773056988	-0.210071917140356	0.151828162353624	0.802105234309803	7.24466018245828e-12
"Niben261Chr08g0154008.1"	"DNA-3-methyladenine glycosylase"	"purple"	-0.500461262662135	0.000291881082747793	-0.359184069063531	0.0121694124243797	0.801202173824042	7.96065555866457e-12
"Niben261Chr14g0997003.1"	"Glycosyltransferase"	"purple"	-0.42726346614077	0.00245517193402221	-0.253839416476563	0.0816950728512539	0.801196954124554	7.96498215141559e-12
"Niben261Chr14g0436005.1"	"boron transporter 4-like"	"purple"	-0.659813915801455	3.37728033613401e-07	-0.527562851641454	0.00011663196848497	0.800882890368443	8.22944041738431e-12
