Description	pcrtB22h_vs_GFP22h_filtered	pcrtB25h_vs_GFP25h_filtered	pcrtBAA_vs_GFPAA_filtered	pcrtBBB_vs_GFPBB_filtered	pcrtBYY_vs_GFPYY_filtered	pcrtB28h_vs_GFP28h_filtered	pcrtB34h_vs_GFP34h_filtered	pcrtB37h_vs_GFP37h_filtered	pcrtBZZ_vs_GFPZZ_filtered	pcrtBCC_vs_GFPCC_filtered	pcrtB40h_vs_GFP40h_filtered	pcrtBDD_vs_GFPDD_filtered	pcrtB46h_vs_GFP46h_filtered	pcrtB56h_vs_GFP56h_filtered	pcrtBEE_vs_GFPEE_filtered	pcrtB96h_vs_GFP96h_filtered
Niben261Chr01g0616002.1	Non-structural maintenance of chromosomes element 4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0647001.1	Transcription initiation factor IIB"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0654003.1	mitochondrial carnitine/acylcarnitine carrier-like protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.665923060565321	NA	NA	-0.79794510021924	NA	NA
Niben261Chr01g0659003.1	Photosystem I reaction center subunit III"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0665002.1	altered inheritance of mitochondria protein 32-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0670001.1	NET domain-containing protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.6983251243739	NA	NA	NA
Niben261Chr01g0731001.1	Oxygen-evolving enhancer protein 1. chloroplastic"	NA	0.696749584284432	NA	NA	0.646732390321983	0.655281359463884	NA	NA	NA	NA	0.759490570689132	0.992485000503032	1.19282591234952	NA	NA	NA
Niben261Chr01g0791001.1	4-alpha-glucanotransferase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0832005.1	thylakoid lumenal 15 kDa protein 1. chloroplastic-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.12102018563666
Niben261Chr01g0849007.1	Fibronectin type-III domain-containing protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0890008.1	Dihydroxy-acid dehydratase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.24664683787775
Niben261Chr01g0964004.1	sedoheptulose-1.7-bisphosphatase. chloroplastic-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0970022.1	30S ribosomal protein S31. chloroplastic-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.04920182966575
Niben261Chr01g0989005.1	Syntaxin-22"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0996006.1	Transmembrane protein 41B"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g1007002.1	transcription factor bHLH71-like"	0.951037032252706	0.881474819033364	NA	NA	NA	NA	NA	NA	NA	NA	0.954278542407992	NA	NA	NA	NA	NA
Niben261Chr01g1014003.1	Glycerol-3-phosphate acyltransferase. chloroplastic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g1018003.1	CS domain-containing protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.39440853868756
Niben261Chr01g1061005.1	PSI-K"	NA	NA	NA	NA	NA	NA	0.834130316147974	NA	NA	NA	0.756724602622084	1.20211385986467	1.28986286179642	NA	NA	NA
Niben261Chr01g1077026.1	Protein SYS1 homolog"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g1100009.1	LysM domain-containing GPI-anchored protein 1"	NA	0.851812899732	NA	NA	NA	NA	NA	NA	NA	NA	1.46783489880639	1.17498820376794	1.11896819830223	-1.2690919566922	NA	-1.09616358568389
Niben261Chr01g1148001.1	Transaldolase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.21520744781227
Niben261Chr01g1149011.1	thylakoid lumenal protein TL20.3. chloroplastic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.909821458314094
Niben261Chr01g1149012.1	thylakoid lumenal protein TL20.3. chloroplastic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.853610676603023
Niben261Chr01g1152008.1	Elongation factor G. chloroplastic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g1168008.1	Soluble starch synthase 3. chloroplastic/amyloplastic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g1238008.1	type IV inositol polyphosphate 5-phosphatase 11-like"	NA	-1.82623452458814	NA	-1.93430342916168	-1.85613581321057	-1.94813970293039	-0.97210760639456	-1.22561523483776	-0.922151547728778	NA	NA	NA	-1.07706763400055	NA	-0.73512201830785	NA
Niben261Chr01g1239019.1	30s ribosomal protein s9. chloroplastic"	NA	0.602573723371989	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.631560227895384	NA	NA	1.12071688468416
Niben261Chr01g1256016.1	nucleobase-ascorbate transporter 3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g1281001.1	protein TIC 22. chloroplastic-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.697694023075749
Niben261Chr01g1284011.1	ATP synthase mitochondrial F1 complex assembly factor 1-like isoform X1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g1292001.1	protein DCL. chloroplastic"	NA	0.653828525535122	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.84851273823772
Niben261Chr01g1322001.1	Protein PTST homolog 3. chloroplastic"	NA	NA	NA	NA	0.671364362228146	0.941057173578649	0.854315807851298	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g1323018.1	Kin17_mid domain-containing protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g1334004.1	Ferredoxin"	NA	0.705282456448808	NA	NA	0.599098785266652	NA	NA	NA	NA	NA	0.645118384599279	NA	0.758984550967805	0.809244070503439	0.916646366254376	0.82463145682453
Niben261Chr01g1346005.1	Peptidylprolyl isomerase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.62768597323919
Niben261Chr01g1356010.1	60S ribosomal protein L24"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g1370001.1	Serine/threonine protein kinase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g1427001.1	Prenyl-dependent CAAX protease"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.679002236367198	NA	NA	0.752321786351071
Niben261Chr01g1431005.1	Protein HHL1. chloroplastic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.638489053998638
Niben261Chr01g1463001.1	REF/SRPP-like protein"	-1.06423501895001	-1.04229849684825	-1.07693420047917	NA	-0.73510255195704	NA	-0.816087529507846	-0.865731814540334	-0.820689981350977	-0.8974026547703	-1.13940941833489	-0.915036723995432	-0.951671259562216	-0.643587110225723	-0.856552197306392	NA
Niben261Chr01g1465005.1	F-box protein At1g67340"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.906760397461787	0.850324357737329	0.964302685876123	NA	NA	NA
Niben261Chr01g1472001.1	Chlorophyll a-b binding protein. chloroplastic"	NA	NA	NA	NA	NA	NA	1.02279605020084	NA	NA	NA	1.00205076729135	1.29197504612709	1.30567668303759	NA	NA	NA
Niben261Chr01g1508013.1	V-type proton ATPase subunit"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g1525015.1	Metacaspase-9"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g1550002.1	23 kDa subunit of oxygen evolving system of photosystem II"	0.725267818900304	1.02796971417898	NA	NA	0.812541925662653	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g1567007.1	DNA gyrase subunit B"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g1666025.1	DNA binding protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g1673002.1	Heat shock protein DnaJ. cysteine-rich domain-containing protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.776326769855856	NA	0.818144588172233	0.728412960792808	0.651763254015234	0.730803124475482
Niben261Chr01g1673009.1	Ribulose bisphosphate carboxylase/oxygenase activase. chloroplastic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.634074523717542	NA	NA	NA
Niben261Chr01g1702001.1	Adenosine kinase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g1704007.1	29 kDa ribonucleoprotein B. chloroplastic"	NA	0.593168761359145	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.04726382685742	NA	NA	1.7645482061327
Niben261Chr01g1777003.1	Fructose-bisphosphate aldolase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.592490109858918	NA	NA	-1.24336163579271	NA	NA
Niben261Chr01g1777004.1	Photosystem II reaction center protein L"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g1800001.1	SANT domain-containing protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.84525036431466
Niben261Chr01g1801004.1	ATP-dependent Clp protease proteolytic subunit"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.716226384562794
Niben261Chr01g1802001.1	Cytochrome c biogenesis protein ccs1. chloroplastic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.706552617570043	NA	NA	NA
Niben261Chr01g1802002.1	Protein tic 62. chloroplastic"	NA	0.788926356566414	0.645353654326704	NA	0.58602518261878	NA	0.846418754909693	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g1813001.1	Unknown protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.33281180160414
Niben261Chr01g1813002.1	Unknown protein"	NA	NA	NA	NA	NA	NA	1.92536403758845	NA	NA	NA	NA	NA	NA	1.36686298825591	NA	1.75468070435225
Niben261Chr01g1835005.1	elongation factor P-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.676148102043992	NA	NA	1.48761396216344
Niben261Chr02g0002006.1	Lysine--tRNA ligase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.15756778973691
Niben261Chr02g0016003.1	O-fucosyltransferase family protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr02g0028010.1	Homeobox domain-containing protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr02g0083010.1	NAD(P)-binding Rossmann-fold superfamily protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.820124064565419	NA	NA
Niben261Chr02g0087006.1	40S ribosomal protein S20"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr02g0091003.1	Enoyl-[acyl-carrier-protein] reductase [nadh]. chloroplastic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr02g0102012.1	Ribonuclease P"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr02g0130002.1	Unknown protein"	0.852650853199681	1.34379367613164	NA	NA	NA	NA	NA	NA	NA	NA	0.874053734136616	NA	NA	-1.39452661112183	NA	NA
Niben261Chr02g0141001.1	GTP-binding protein EngA"	NA	0.650037294113679	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.987732505450953
Niben261Chr02g0319011.1	glutaredoxin-C4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr02g0331003.1	Translation initiation factor IF-3"	NA	0.602732640756111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.871091427654145
Niben261Chr02g0341008.1	50S ribosomal protein L35"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.00439406471009
Niben261Chr02g0348006.1	Tetratricopeptide repeat protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr02g0355001.1	NAD(P)H-quinone oxidoreductase subunit 2. chloroplastic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr02g0368005.1	Chr4:13935836-13937367 REVERSE LENGTH=148"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.883402842431489	NA	NA	1.23784365662019
